State Name,Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio,National School Lunch Program,School ID - NCES Assigned,School Name,District Entity ID,District Name,Percent Passing,Subject
Arizona,Phoenix Union High School District,"=""0406330""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0407""",High,1977,1660,1006,971,35,6,1592,244,61,7,32,109.60,18.04,Yes participating without using any Provision or the CEO,"=""040633000552""",South Mountain High School,4286,Phoenix Union High School District,12,Math
Arizona,Kaizen Education Foundation dba Advance U,"=""0400882""",Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0407""",Elementary,50,32,26,24,"=""0""","=""0""",33,17,"=""0""","=""0""","=""0""",–,†,Yes under Community Eligibility Option (CEO),"=""040088203409""",South Mountain Preparatory Academy,91329,Kaizen Education Foundation dba Advance U,*,English Language Arts
Arizona,Kaizen Education Foundation dba Advance U,"=""0400882""",Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0407""",Elementary,50,32,26,24,"=""0""","=""0""",33,17,"=""0""","=""0""","=""0""",–,†,Yes under Community Eligibility Option (CEO),"=""040088203409""",South Mountain Preparatory Academy,91329,Kaizen Education Foundation dba Advance U,*,Math
Arizona,South Phoenix Academy Inc.,"=""0400853""",Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0407""",Elementary,275,–,121,154,6,7,130,97,27,3,5,–,†,Yes under Provision 2,"=""040085303297""",South Phoenix Prep and Arts Academy,91108,South Phoenix Academy Inc.,22,English Language Arts
Arizona,South Phoenix Academy Inc.,"=""0400853""",Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0407""",Elementary,275,–,121,154,6,7,130,97,27,3,5,–,†,Yes under Provision 2,"=""040085303297""",South Phoenix Prep and Arts Academy,91108,South Phoenix Academy Inc.,32,Math
Arizona,Gilbert Unified District,"=""0403400""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0405""",Middle,1006,200,519,487,11,35,195,46,675,5,39,51.87,19.39,Yes participating without using any Provision or the CEO,"=""040340002432""",South Valley Jr. High,4239,Gilbert Unified District,59,English Language Arts
Arizona,Gilbert Unified District,"=""0403400""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0405""",Middle,1006,200,519,487,11,35,195,46,675,5,39,51.87,19.39,Yes participating without using any Provision or the CEO,"=""040340002432""",South Valley Jr. High,4239,Gilbert Unified District,55,Math
Arizona,South Valley Academy  Inc.,"=""0400846""",Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0407""",Middle,228,–,114,114,6,4,117,82,17,"=""0""",2,–,†,Yes under Provision 2,"=""040084603245""",South Valley Prep and Arts School,90540,"South Valley Academy, Inc.",21,English Language Arts
Arizona,South Valley Academy  Inc.,"=""0400846""",Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0407""",Middle,228,–,114,114,6,4,117,82,17,"=""0""",2,–,†,Yes under Provision 2,"=""040084603245""",South Valley Prep and Arts School,90540,"South Valley Academy, Inc.",9,Math
ARIZONA,Camp Verde Unified District,"=""0401600""",Yavapai County,"=""04025""",2-No,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0401""",High,23,13,13,10,5,"=""0""",6,"=""0""",11,"=""0""",1,2.00,11.50,Yes participating without using any Provision or the CEO,"=""040160003053""",South Verde Technology Magnet,4470,Camp Verde Unified District,13,English Language Arts
