State Name,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,Agency Name,Agency ID - NCES Assigned,Total Students All Grades (Excludes AE),School Level,Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Pupil/Teacher Ratio,Full-Time Equivalent (FTE) Teachers,School ID - NCES Assigned,District Entity ID,School Name,District Name,Percent Passing,Subject
Arizona,Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0405""",Yes participating without using any Provision or the CEO,Gilbert Unified District (4239),"=""0403400""",515,Elementary,138,253,262,9,11,107,7,343,3,35,15.17,33.95,"=""040340001490""",4239,Val Vista Lakes Elementary School,Gilbert Unified District,61,English Language Arts
Arizona,Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0405""",Yes participating without using any Provision or the CEO,Gilbert Unified District (4239),"=""0403400""",515,Elementary,138,253,262,9,11,107,7,343,3,35,15.17,33.95,"=""040340001490""",4239,Val Vista Lakes Elementary School,Gilbert Unified District,55,Mathematics
Arizona,Pima County,"=""04019""",2-No,5-Title I schoolwide school,"=""0403""",Yes participating without using any Provision or the CEO,Tucson Unified District (4403),"=""0408800""",873,Middle,663,448,425,72,4,706,15,63,1,12,17.46,50.00,"=""040880000972""",4403,Valencia Middle School,Tucson Unified District,18,English Language Arts
Arizona,Pima County,"=""04019""",2-No,5-Title I schoolwide school,"=""0403""",Yes participating without using any Provision or the CEO,Tucson Unified District (4403),"=""0408800""",873,Middle,663,448,425,72,4,706,15,63,1,12,17.46,50.00,"=""040880000972""",4403,Valencia Middle School,Tucson Unified District,9,Mathematics
ARIZONA,Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0407""",Yes participating without using any Provision or the CEO,Alhambra Elementary District (4280),"=""0400600""",105,Elementary,102,47,58,"=""0""","=""0""",52,50,3,"=""0""","=""0""",17.50,6.00,"=""040060003599""",4280,Valencia Newcomer School,Alhambra Elementary District,*,English Language Arts
ARIZONA,Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0407""",Yes participating without using any Provision or the CEO,Alhambra Elementary District (4280),"=""0400600""",105,Elementary,102,47,58,"=""0""","=""0""",52,50,3,"=""0""","=""0""",17.50,6.00,"=""040060003599""",4280,Valencia Newcomer School,Alhambra Elementary District,*,Mathematics
Arizona,Mohave County,"=""04015""",2-No,6-Not a Title I school,"=""0404""",No,Valentine Elementary District (4380),"=""0408880""",92,Elementary,–,46,46,74,"=""0""",7,"=""0""",9,"=""0""",2,18.40,5.00,"=""040888000910""",4380,Valentine Elementary School,Valentine Elementary District,*,English Language Arts
Arizona,Mohave County,"=""04015""",2-No,6-Not a Title I school,"=""0404""",No,Valentine Elementary District (4380),"=""0408880""",92,Elementary,–,46,46,74,"=""0""",7,"=""0""",9,"=""0""",2,18.40,5.00,"=""040888000910""",4380,Valentine Elementary School,Valentine Elementary District,*,Mathematics
Arizona,Apache County,"=""04001""",2-No,5-Title I schoolwide school,"=""0401""",Yes under Community Eligibility Option (CEO),Sanders Unified District (4156),"=""0406740""",216,High,189,113,103,211,"=""0""",3,"=""0""","=""0""","=""0""",2,12.00,18.00,"=""040674001142""",4156,Valley High School,Sanders Unified District,9,English Language Arts
Arizona,Apache County,"=""04001""",2-No,5-Title I schoolwide school,"=""0401""",Yes under Community Eligibility Option (CEO),Sanders Unified District (4156),"=""0406740""",216,High,189,113,103,211,"=""0""",3,"=""0""","=""0""","=""0""",2,12.00,18.00,"=""040674001142""",4156,Valley High School,Sanders Unified District,15,Mathematics
Arizona,Yuma County,"=""04027""",2-No,5-Title I schoolwide school,"=""0403""",Yes under Community Eligibility Option (CEO),Crane Elementary District (4501),"=""0402400""",545,Elementary,402,286,259,4,3,505,2,24,1,6,17.58,31.00,"=""040240000037""",4501,Valley Horizon Elementary School,Crane Elementary District,34,English Language Arts
Arizona,Yuma County,"=""04027""",2-No,5-Title I schoolwide school,"=""0403""",Yes under Community Eligibility Option (CEO),Crane Elementary District (4501),"=""0402400""",545,Elementary,402,286,259,4,3,505,2,24,1,6,17.58,31.00,"=""040240000037""",4501,Valley Horizon Elementary School,Crane Elementary District,26,Mathematics
