State Name,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,School Level,Agency Name,Agency ID - NCES Assigned,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio,School ID - NCES Assigned,District Entity ID,School Name,District Name,Percent Passing,Subject
Arizona,Pima County,4019.0,1-Yes,6-Not a Title I school,402.0,Yes participating without using any Provision or the CEO,Elementary,Tucson Country Day School Inc. (79073),400255.0,541,91,280,261,4,11,170,10,328,0,18,–,–,"=""040025502075""",79073,Tucson Country Day School,"Tucson Country Day School, Inc.",32,English Language Arts
Arizona,Pima County,4019.0,1-Yes,6-Not a Title I school,402.0,Yes participating without using any Provision or the CEO,Elementary,Tucson Country Day School Inc. (79073),400255.0,541,91,280,261,4,11,170,10,328,0,18,–,–,"=""040025502075""",79073,Tucson Country Day School,"Tucson Country Day School, Inc.",20,Mathematics
Arizona,Pima County,4019.0,1-Yes,5-Title I schoolwide school,403.0,Yes under Community Eligibility Option (CEO),Other,Tucson International Academy Inc. (79979),400373.0,75,65,40,35,1,0,69,0,5,0,0,–,–,"=""040037302311""",79979,Tucson International Academy,"Tucson International Academy, Inc.",*,English Language Arts
Arizona,Pima County,4019.0,1-Yes,5-Title I schoolwide school,403.0,Yes under Community Eligibility Option (CEO),Other,Tucson International Academy Inc. (79979),400373.0,75,65,40,35,1,0,69,0,5,0,0,–,–,"=""040037302311""",79979,Tucson International Academy,"Tucson International Academy, Inc.",*,Mathematics
Arizona,Pima County,4019.0,1-Yes,5-Title I schoolwide school,403.0,Yes under Community Eligibility Option (CEO),Other,Tucson International Academy Inc. (79979),400373.0,149,120,75,74,10,2,119,2,9,1,6,–,–,"=""040037302397""",79979,Tucson International Academy Midvale,"Tucson International Academy, Inc.",*,English Language Arts
Arizona,Pima County,4019.0,1-Yes,5-Title I schoolwide school,403.0,Yes under Community Eligibility Option (CEO),Other,Tucson International Academy Inc. (79979),400373.0,149,120,75,74,10,2,119,2,9,1,6,–,–,"=""040037302397""",79979,Tucson International Academy Midvale,"Tucson International Academy, Inc.",*,Mathematics
Arizona,Pima County,4019.0,2-No,5-Title I schoolwide school,403.0,Yes participating without using any Provision or the CEO,High,Tucson Unified District (4403),408800.0,3235,880,1610,1625,143,45,2258,187,482,4,116,164.10,19.71,"=""040880001268""",4403,Tucson Magnet High School,Tucson Unified District,30,English Language Arts
Arizona,Pima County,4019.0,2-No,5-Title I schoolwide school,403.0,Yes participating without using any Provision or the CEO,High,Tucson Unified District (4403),408800.0,3235,880,1610,1625,143,45,2258,187,482,4,116,164.10,19.71,"=""040880001268""",4403,Tucson Magnet High School,Tucson Unified District,18,Mathematics
Arizona,Pima County,4019.0,1-Yes,5-Title I schoolwide school,402.0,No,High,Tucson Preparatory School (6374),400159.0,114,–,47,67,5,0,69,8,27,3,2,–,–,"=""040015901791""",6374,Tucson Preparatory School,Tucson Preparatory School,*,English Language Arts
Arizona,Pima County,4019.0,1-Yes,5-Title I schoolwide school,402.0,No,High,Tucson Preparatory School (6374),400159.0,114,–,47,67,5,0,69,8,27,3,2,–,–,"=""040015901791""",6374,Tucson Preparatory School,Tucson Preparatory School,*,Mathematics
Arizona,Pima County,4019.0,2-No,5-Title I schoolwide school,403.0,Yes under Community Eligibility Option (CEO),Elementary,Tucson Unified District (4403),408800.0,286,194,169,117,13,14,173,41,41,1,3,24.69,11.58,"=""040880001113""",4403,Tully Elementary Accelerated Magnet School,Tucson Unified District,*,English Language Arts
Arizona,Pima County,4019.0,2-No,5-Title I schoolwide school,403.0,Yes under Community Eligibility Option (CEO),Elementary,Tucson Unified District (4403),408800.0,286,194,169,117,13,14,173,41,41,1,3,24.69,11.58,"=""040880001113""",4403,Tully Elementary Accelerated Magnet School,Tucson Unified District,*,Mathematics
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,406.0,Yes under Community Eligibility Option (CEO),Elementary,Washington Elementary School District (4260),409060.0,406,312,204,202,6,11,217,29,117,0,26,28.50,14.25,"=""040906000946""",4260,Tumbleweed Elementary School,Washington Elementary School District,41,English Language Arts
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,406.0,Yes under Community Eligibility Option (CEO),Elementary,Washington Elementary School District (4260),409060.0,406,312,204,202,6,11,217,29,117,0,26,28.50,14.25,"=""040906000946""",4260,Tumbleweed Elementary School,Washington Elementary School District,40,Mathematics
Arizona,Maricopa County,4013.0,2-No,6-Not a Title I school,403.0,Yes participating without using any Provision or the CEO,Elementary,Fowler Elementary District (4273),403060.0,661,157,338,323,8,8,496,75,49,8,17,29.17,22.66,"=""040306002495""",4273,Tuscano Elementary School,Fowler Elementary District,23,English Language Arts
Arizona,Maricopa County,4013.0,2-No,6-Not a Title I school,403.0,Yes participating without using any Provision or the CEO,Elementary,Fowler Elementary District (4273),403060.0,661,157,338,323,8,8,496,75,49,8,17,29.17,22.66,"=""040306002495""",4273,Tuscano Elementary School,Fowler Elementary District,21,Mathematics
Arizona,Pima County,4019.0,2-No,6-Not a Title I school,401.0,Yes participating without using any Provision or the CEO,Elementary,Marana Unified District (4404),404630.0,931,109,485,446,6,23,338,13,504,4,43,55.26,16.85,"=""040463002197""",4404,Twin Peaks Elementary School,Marana Unified District,48,English Language Arts
Arizona,Pima County,4019.0,2-No,6-Not a Title I school,401.0,Yes participating without using any Provision or the CEO,Elementary,Marana Unified District (4404),404630.0,931,109,485,446,6,23,338,13,504,4,43,55.26,16.85,"=""040463002197""",4404,Twin Peaks Elementary School,Marana Unified District,39,Mathematics
ARIZONA,Maricopa County,4013.0,2-No,6-Not a Title I school,406.0,Yes participating without using any Provision or the CEO,Elementary,Deer Valley Unified District (4246),407750.0,731,54,374,357,6,24,111,16,540,3,31,45.52,16.06,"=""040775003688""",4246,Union Park School,Deer Valley Unified District,67,English Language Arts
ARIZONA,Maricopa County,4013.0,2-No,6-Not a Title I school,406.0,Yes participating without using any Provision or the CEO,Elementary,Deer Valley Unified District (4246),407750.0,731,54,374,357,6,24,111,16,540,3,31,45.52,16.06,"=""040775003688""",4246,Union Park School,Deer Valley Unified District,56,Mathematics
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,407.0,No,High,Tolleson Union High School District (4288),408520.0,405,–,162,243,1,57,257,38,41,1,10,17.00,23.82,"=""040852003206""",4288,University High School,Tolleson Union High School District,96,English Language Arts
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,407.0,No,High,Tolleson Union High School District (4288),408520.0,405,–,162,243,1,57,257,38,41,1,10,17.00,23.82,"=""040852003206""",4288,University High School,Tolleson Union High School District,85,Mathematics
Arizona,Pima County,4019.0,2-No,6-Not a Title I school,402.0,No,High,Tucson Unified District (4403),408800.0,1129,–,532,597,6,126,396,29,489,1,82,48.60,23.23,"=""040880001441""",4403,University High School,Tucson Unified District,98,English Language Arts
Arizona,Pima County,4019.0,2-No,6-Not a Title I school,402.0,No,High,Tucson Unified District (4403),408800.0,1129,–,532,597,6,126,396,29,489,1,82,48.60,23.23,"=""040880001441""",4403,University High School,Tucson Unified District,96,Mathematics
Arizona,Pima County,4019.0,2-No,5-Title I schoolwide school,403.0,Yes under Community Eligibility Option (CEO),Middle,Tucson Unified District (4403),408800.0,238,175,136,102,13,0,188,19,14,0,4,30.20,7.88,"=""040880000896""",4403,Utterback Middle School,Tucson Unified District,16,English Language Arts
Arizona,Pima County,4019.0,2-No,5-Title I schoolwide school,403.0,Yes under Community Eligibility Option (CEO),Middle,Tucson Unified District (4403),408800.0,238,175,136,102,13,0,188,19,14,0,4,30.20,7.88,"=""040880000896""",4403,Utterback Middle School,Tucson Unified District,10,Mathematics
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,407.0,Yes under Community Eligibility Option (CEO),Elementary,Roosevelt Elementary District (4279),407080.0,290,251,140,150,0,1,251,22,10,2,4,39.00,7.44,"=""040708000593""",4279,V H Lassen Elementary School,Roosevelt Elementary District,*,English Language Arts
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,407.0,Yes under Community Eligibility Option (CEO),Elementary,Roosevelt Elementary District (4279),407080.0,290,251,140,150,0,1,251,22,10,2,4,39.00,7.44,"=""040708000593""",4279,V H Lassen Elementary School,Roosevelt Elementary District,7,Mathematics
